    Spearman   Pearson  Jaccard@1  Jaccard@2  Jaccard@3  Jaccard@4  Jaccard@5  Jaccard@6  Jaccard@7  Jaccard@8  Jaccard@9  Jaccard@10  Jaccard@11  Jaccard@12  Jaccard@13  Jaccard@14  Jaccard@15  Jaccard@16  Jaccard@17  Jaccard@18  Jaccard@19  Jaccard@20  Jaccard@21  Jaccard@22  Jaccard@23  Jaccard@24  Jaccard@25  Jaccard@26  Jaccard@27  Jaccard@28  Jaccard@29  Jaccard@30  Jaccard@31  Jaccard@32  Jaccard@33  Jaccard@34  Jaccard@35  Jaccard@36  Jaccard@37  Jaccard@38  Jaccard@39  Jaccard@40  Jaccard@41  Jaccard@42  Jaccard@43  Jaccard@44  Jaccard@45  Jaccard@46  Jaccard@47  Jaccard@48  Jaccard@49  Jaccard@50
10  0.165330  0.970775        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.272727   0.230769   0.200000    0.176471    0.222222    0.263158    0.300000    0.272727    0.250000    0.230769    0.259259    0.241379    0.266667    0.290323    0.312500    0.294118    0.314286    0.371429    0.388889    0.368421    0.350000    0.333333    0.380952    0.395349    0.409091    0.454545    0.500000    0.545455    0.590909    0.600000    0.644444    0.688889    0.695652    0.702128    0.744681    0.750000    0.791667    0.833333    0.836735    0.877551    0.918367    0.920000        0.96         1.0
11  0.227467  0.953830        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.250000    0.222222    0.333333    0.300000    0.272727    0.304348    0.280000    0.307692    0.285714    0.266667    0.250000    0.312500    0.294118    0.352941    0.371429    0.388889    0.405405    0.384615    0.400000    0.450000    0.500000    0.512195    0.523810    0.500000    0.545455    0.555556    0.600000    0.608696    0.652174    0.659574    0.666667    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
12  0.051429  0.981587        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.230769   0.200000    0.176471    0.157895    0.200000    0.181818    0.166667    0.200000    0.185185    0.214286    0.200000    0.225806    0.212121    0.235294    0.222222    0.243243    0.263158    0.282051    0.333333    0.384615    0.435897    0.487179    0.538462    0.550000    0.560976    0.609756    0.619048    0.627907    0.636364    0.608696    0.617021    0.659574    0.666667    0.673469    0.714286    0.755102    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
13  0.045090  0.957111        0.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.111111    0.100000    0.090909    0.130435    0.120000    0.153846    0.185185    0.214286    0.241379    0.266667    0.250000    0.235294    0.294118    0.314286    0.333333    0.351351    0.405405    0.421053    0.400000    0.380952    0.395349    0.409091    0.422222    0.434783    0.446809    0.489362    0.531915    0.574468    0.617021    0.659574    0.702128    0.708333    0.750000    0.791667    0.795918    0.800000    0.840000    0.880000    0.920000        0.96         1.0
14  0.130564  0.967141        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.200000    0.176471    0.294118    0.263158    0.238095    0.217391    0.200000    0.185185    0.214286    0.241379    0.266667    0.250000    0.272727    0.333333    0.352941    0.371429    0.351351    0.368421    0.384615    0.435897    0.414634    0.428571    0.441860    0.454545    0.466667    0.478261    0.489362    0.500000    0.541667    0.551020    0.591837    0.632653    0.673469    0.714286    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
15  0.011092  0.972352        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.230769   0.200000    0.250000    0.222222    0.263158    0.238095    0.217391    0.200000    0.185185    0.259259    0.241379    0.266667    0.250000    0.235294    0.257143    0.277778    0.297297    0.315789    0.300000    0.317073    0.333333    0.348837    0.363636    0.377778    0.391304    0.434783    0.478261    0.521739    0.531915    0.574468    0.583333    0.625000    0.632653    0.673469    0.714286    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
16  0.278175  0.974450        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.176471    0.222222    0.333333    0.300000    0.333333    0.363636    0.333333    0.360000    0.333333    0.357143    0.379310    0.354839    0.333333    0.352941    0.371429    0.351351    0.405405    0.421053    0.435897    0.487179    0.500000    0.550000    0.523810    0.500000    0.511111    0.555556    0.600000    0.608696    0.617021    0.659574    0.666667    0.673469    0.714286    0.755102    0.795918    0.836735    0.877551    0.880000    0.920000        0.96         1.0
17  0.240144  0.962057        1.0        1.0        0.5   0.333333   0.250000   0.200000   0.166667   0.142857   0.125000    0.176471    0.222222    0.263158    0.238095    0.272727    0.250000    0.333333    0.360000    0.333333    0.310345    0.333333    0.354839    0.419355    0.393939    0.454545    0.515152    0.529412    0.500000    0.513514    0.526316    0.500000    0.550000    0.523810    0.571429    0.581395    0.555556    0.600000    0.574468    0.583333    0.625000    0.632653    0.640000    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
18  0.056423  0.972292        0.0        1.0        0.5   0.600000   0.428571   0.333333   0.272727   0.230769   0.200000    0.176471    0.157895    0.200000    0.300000    0.272727    0.250000    0.230769    0.259259    0.241379    0.266667    0.290323    0.272727    0.257143    0.277778    0.297297    0.315789    0.300000    0.317073    0.333333    0.348837    0.395349    0.441860    0.454545    0.466667    0.478261    0.521739    0.531915    0.541667    0.583333    0.625000    0.632653    0.673469    0.714286    0.755102    0.795918    0.836735    0.877551    0.918367    0.959184        0.96         1.0
19  0.322737  0.973484        1.0        1.0        0.5   0.333333   0.250000   0.333333   0.272727   0.333333   0.384615    0.333333    0.294118    0.263158    0.300000    0.400000    0.428571    0.391304    0.360000    0.333333    0.407407    0.379310    0.400000    0.419355    0.437500    0.454545    0.428571    0.444444    0.459459    0.513514    0.526316    0.500000    0.512195    0.488372    0.500000    0.545455    0.521739    0.565217    0.608696    0.617021    0.659574    0.632653    0.673469    0.680000    0.720000    0.760000    0.800000    0.840000    0.880000    0.920000        0.96         1.0
